Numero da Peca,Descricao,Quantidade,Localizacao
0094526708191,COPO REDUCAO,1,24D11
0094526713191,CILINDRO DE MUDANCA,1,24I06
0094542002381,CATRACA DE FREIO,1,11C02
0095824021181,COXIM TRASEIRO MOTOR,1,11B17
0095831700181,CABO DESTRAVAMENTO,1,24H04
0095832307001,AMORTECEDOR DIANT,1,24A17
0095842003381,CATRACA DE FREIO LE,1,24D15
0095847010011,TANQUE DE COMBUSTIVEL,1,ESTRADO 0
0095850502551,DEFLETOR,1,30
0095866608281,ESTRIBO SUPERIOR,1,24A08
0095867001011,PARABRISA,1,VIDROS
0095883003601,CLIMATIZADOR TETO ALTO,2,ESTRADO 0
0095889010191,AMORTECEDOR,1,11F13
0096047705031,CARTUCHO DO FILTRO DE COMBUSTIVEL,4,24C16
0096782000101,PRESSOSTATO,3,24H07
0097026840501,BUCHA ALAVANCA,6,24B01
0097375001931,PUXADOR DO CAPO,1,02G12
0097381107101,QUEBRA SOL CAB BAIXA,1,VIDROS
0097635600261,PORCA ENTALHADA,1,24A13
0097931701031,AMORTECEDOR CABINE,1,24D16
0097932004441,BUCHA ESTABILIZADORA,4,24H02
0097954507051,RELE AUXILIAR 5 SAIDA 24V,6,24F09
0097969770981,BORRACHA PORTA MB ACCELO (JG),2,24I17
0097982004611,FAROL LD,1,12E08
0097988171031,PARALAMA TRASEIRO DI,1,30
072601/012220/1,LAMPADA 1034 12V,3,15C03
072601/024190/1,LAMPADA 1141 24 V,6,15C04
072601/024200/1,LAMPADA 1034 24V,7,15C05
072601/024210/1,LAMPADA 2 POLOS 24V,25,15C05
072601/024220/1,LAMPADA PINGAO 24V,13,15D01
072601/024250/1,LAMPADA PINGAO 24V,9,15C01
072601/024270/1,LAMPADA H1 24V,5,15D03
072601/024290/1,LAMPADA H3  24V,5,15D04
072601/024701,LAMPADA INCANDESCENT,5,15E06
072601/024701/1,LAMPADA 67 24V,13,15E03
7008532,CORRUGADO 25MM,16,09C05
910105/010010/1,PARAFUSO.,1,24D12
940890/101900/5,AMORTECEDOR CABINE,1,24B17
